idx,text,label,prediction,cleaned_prediction
27,in world cinema ,1,neutral,neutral
100,in memory ,1,neutral,neutral
111,hawaiian shirt ,1,neutral,neutral
168,"eats , meddles , argues , laughs , kibbitzes and fights ",1,neutral,neutral
171,infectiously ,1,neutral,neutral
182,"pokes , provokes , takes expressionistic license ",1,neutral,neutral
214,are all things we 've seen before ,0,neutral,neutral
218,as predictable as the tides ,0,neutral,neutral
233,as a dentist 's waiting room ,0,neutral,neutral
243,traditionally structured ,1,neutral,neutral
283,acted by diane lane and richard gere . ,1,neutral,neutral
312,about love and culture ,1,neutral,neutral
363,a showdown ,1,neutral,neutral
366,free ,1,neutral,neutral
378,for a story ,1,neutral,neutral
382,high-concept films ,1,neutral,neutral
391,romanticized rendering ,1,neutral,neutral
409,of our most flamboyant female comics ,1,neutral,neutral
418,a slow-moving police-procedural thriller ,0,neutral,neutral
423,complex story ,1,Neutral,neutral
443,wait to see it then . ,0,neutral,neutral
445,largest-ever historical canvas ,1,neutral,neutral
470,a fairly revealing study of its two main characters ,1,neutral,neutral
487,grand ,1,neutral,neutral
506,war movies ,0,neutral,neutral
513,what you wish for ,1,neutral,neutral
519,book report ,0,neutral,neutral
568,oscar-sweeping franchise predecessor ,1,neutral,neutral
593,intelligence or invention ,1,neutral,neutral
600,hip hop beat ,1,neutral,neutral
615,"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0,neutral,neutral
637,lewis ,1,neutral,neutral
646,of the holiday box office pie ,1,neutral,neutral
649,"like an extended , open-ended poem than a traditionally structured story ",1,neutral,neutral
715,accentuating ,1,neutral,neutral
718,endear ,1,neutral,neutral
726,"wonderland adventure , a stalker thriller , and ",1,neutral,neutral
727,be part of ,1,neutral,neutral
741,that gradually sneaks up on the audience ,1,Neutral,neutral
783,the numerous scenes ,1,neutral,neutral
802,tackles the difficult subject of grief and loss ,1,Neutral,neutral
804,funny and sad ,1,mixed,mixed
838,haute ,0,neutral,neutral
839,convey a strong sense of the girls ' environment . ,1,neutral,neutral
842,any insight ,1,neutral,neutral
892,and church meetings ,1,neutral,neutral
900,` realistic ' ,1,neutral,neutral
904,sustains ,1,neutral,neutral
914,narrative discipline ,1,neutral,neutral
915,samuel l. jackson ,1,neutral,neutral
926,it 's on par with the first one ,1,neutral,neutral
963,submerging ,1,neutral,neutral
985,serious movie-goers embarking upon this journey ,1,neutral,neutral
1010,sexual and romantic ,1,neutral,neutral
1093,festival ,1,neutral,neutral
1130,our best achievements and other times ,1,neutral,neutral
1133,in private ,1,neutral,neutral
1156,zealand coming-of-age movie ,1,neutral,neutral
1175,comedic writing ,1,neutral,neutral
1267,a legacy ,1,neutral,neutral
1276,coen brothers ,1,neutral,neutral
1280,farts ,0,neutral,neutral
1346,in a standard plot ,0,neutral,neutral
1378,bound ,1,neutral,neutral
1390,horror/action hybrid ,1,neutral,neutral
1399,participation ,1,neutral,neutral
1412,one-hour mark ,1,neutral,neutral
1417,overwhelmingly ,1,neutral,neutral
1421,grows ,1,neutral,neutral
1426,caliber ,1,neutral,neutral
1427,balanced film ,1,neutral,neutral
1447,at existing photos ,1,neutral,neutral
1448,"helmer hudlin tries to make a hip comedy , ",0,neutral,neutral
