text,label,prediction,cleaned_prediction
Lagarde Says All the Blame Can’t Be Dumped on ECB Negative Rates,2,Bearable,bearable
"""We Totally Failed As A Business"": Unicorn Scooter Impales Investors After Company Goes Hooves-Up https://t.co/otp1fQAFgj",0,Bearable,bearable
"Mitsubishi postpones SpaceJet delivery again, books $4.5 billion special loss",0,Bearable,bearable
Tightrope Thiam: comeback CEO stung by a spying scandal,2,Bearable,bearable
Bond Investors Fume at Price Talk Some Call ‘Bait and Switch’,2,Bearable,bearable
OPEC+ Deal Isn't Worth the Paper It's Written On,2,Bearable,bearable
"Meridian Bioscience EPS beats by $0.04, misses on revenue",2,Bearable,bearable
"Total S.A. EPS beats by $0.16, misses on revenue",2,Bearable,bearable
"TransDigm Group EPS beats by $0.34, misses on revenue",2,Bearable,bearable
Cash Woes at India Shadow Lenders Risk More Bad Debt at Banks,0,Bearable,bearable
Facing Catastrophe: Loss Of Working Hours To Equal 195m Full-Time Jobs According To UN Agency  https://t.co/JUs99JOK5t,0,Bearable,bearable
Barbados suffers second day of major power outages,2,Bearable,bearable
"Divestment Will Lead To Loss Of Jobs, Says Concor  Employees Union",2,Bearable,bearable
"Earning $40,000 a year in Omaha used to be enough to make rent comfortably. Not anymore. https://t.co/5CPNzcaT2y",2,Bearable,bearable
Even DIY Cocktails Can't Help Brexit Blues,2,Bearable,bearable
Flood-hit Venice’s dwindling population faces mounting woes,2,Bearable,bearable
"Gideon Rachman: Rather than making life simpler for Germany, Brexit is making it more complicated
https://t.co/JRo1ZlETzZ",2,Bearable,bearable
Glynn’s Take: RBA’s Faith Set to Be Disappointed https://t.co/xfEog5pdLl,2,Bearable,bearable
Gonna be a bad look when the anchors are all wearing surgical masks,2,Bearable,bearable
Stock Exchange: Losing Money On A Good Trade - Seeking Alpha,2,Bearable,bearable
Transportation is ‘broken’ — head of GM’s driverless car unit https://t.co/EJFrrux7y1,2,Bearable,bearable
"CN Rail Strike Begins in Threat to Canadian Oil, Grain Cargo",0,Bearable,bearable
Dubai's jobs disappeared at the fastest pace in at least a decade in the latest signs of strain on the Middle East'… https://t.co/7DTizm6doS,0,Bearable,bearable
"Loss of working hours to equal 195m full-time jobs, UN agency warns https://t.co/Ww1kXzUS6G",0,Bearable,bearable
The euro-area economy came close to a halt in November as the steep decline in manufacturing spread further into se… https://t.co/PKMjM0loEx,0,Bearable,bearable
Scottish salmon producers say Brexit will cost them $11 million #economy #MarketScreener https://t.co/DAR1OdVkC5 https://t.co/65Go4dGCLg,2,Bearable,bearable
"Nasdaq-100 futures retreat 15 points, or 0.2%",0,Bearable,bearable
Dow Jones Today: A Trade-Induced Hangover,2,Bearable,bearable
Brexit Bulletin: An Unpalletable Truth,2,Bearable,bearable
GEE : Announces Untimely Death of President George A. Bajalia #GEE #Stock #MarketScreener https://t.co/vSKEbo7mwW https://t.co/WQrm5xbNYK,2,Bearable,bearable
Thiam quits as Credit Suisse CEO after spying scandal split,2,Bearable,bearable
"Easy Come, Easy Go: How Stratasys (NASDAQ:SSYS) Shareholders Got Unlucky And Saw 82% Of Their Cash Evaporate",2,Bearable,bearable
National Oilwell Varco EPS of -$1.01,0,Bearable,bearable
Penn National EPS of -$0.80,0,Bearable,bearable
"Lowe's EPS beats by $0.06, misses on revenue",2,Bearable,bearable
"Molina Healthcare EPS beats by $0.07, misses on revenue",2,Bearable,bearable
Small U.S. businesses were already struggling. Then coronavirus hit https://t.co/hT3SLBlI3c https://t.co/vMqjAebRe4,0,Bearable,bearable
America isn’t ready for longer lifespans,2,Bearable,bearable
"Japan Post Probe Finds 9,000 Cases of Missold Insurance: Yomiuri",2,Bearable,bearable
Wuhan Doctor’s Death A Massive Headwind For China Coronavirus Sentiment,2,Bearable,bearable
$ALGN - Align loses patent case against 3Shape https://t.co/2HgNiksWgy,0,Bearable,bearable
San Francisco Faces Budget Gap as $6 Billion Can’t Meet Costs,0,Bearable,bearable
Dow heavyweight Boeing ending strong decade with whimper,0,Bearable,bearable
Imagine Owning Apex Global Brands (NASDAQ:APEX) And Taking A 98% Loss Square On The Chin,2,Bearable,bearable
