text,answer,prediction
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,negative,negative
Legal & General share price: Finance chief to step down,negative,neutral
Kingfisher share price slides on cost to implement new strategy,negative,negative
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,negative,neutral
Tesco share price tumbles after negative broker note,negative,negative
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,neutral
City spirits sink after Diageo comes up short with sales slide,negative,negative
$renn topping tail 5 min. chart at 7.31 short from here.,negative,negative
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,neutral
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative,neutral
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,negative
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",negative,negative
$COST Costco less than stellar day but it held the 50 day moving average,negative,neutral
"Tesco set to sell Kipa, Giraffe businesses - Sky News",negative,neutral
Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,negative,negative
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,neutral
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative,negative
$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,negative,negative
Timberrrr $TSLA https://t.co/MRBgfDHHVa,negative,neutral
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,negative,positive
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative,positive
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative,neutral
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",negative,neutral
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative,negative
"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",negative,negative
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,negative,negative
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative,negative
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,negative,negative
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,negative,negative
$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative,negative
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,negative,Neutral
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",negative,positive
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",negative,neutral
"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",negative,neutral
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",negative,negative
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,negative
New Credit Suisse boss faces stiff challenge in Asia,negative,neutral
Shell share price: Standard Life announce position against BG acquisition,negative,neutral
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,negative,negative
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative,negative
"Royal Mail, Johnson Matthey lead FTSE lower",negative,negative
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative,negative
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative,negative
"Tesco, Asda sales fall as march of the discounters continues: Kantar",negative,negative
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,negative,negative
3rd red day in a row ? $TSLA,negative,negative
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",negative,negative
HSBC Says Unit to Book $585 Million Charge on Settlement,negative,negative
US dollar wipes out sales gains for SABMiller,negative,negative
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,negative,negative
$INTC finally some nice downside move... looking for the 31 handle to break,negative,positive
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,negative,neutral
"FTSE led lower by M&S, GlaxoSmithKline",negative,negative
$MPWR CEO sells 450k april 15th..meh,negative,neutral
"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",negative,negative
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,negative,negative
$GRPN might be selling off ahead of $P earnings...,negative,neutral
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative,negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative,negative
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,negative
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,negative,negative
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative,negative
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,negative
"Berkshire discloses unit's ties to Iran, opens probe",negative,negative
$SBUX heading for the 200DMA and certain doom if it can not hold there.,negative,negative
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",negative,neutral
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,negative,negative
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative,negative
Glencore slumps 25 pct as debt fears grow,negative,negative
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative,negative
$SPY bull move ended waiting for next setup,negative,neutral
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,negative
AstraZeneca diabetes drug combination faces delay after FDA rebuff,negative,negative
$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,negative,negative
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,negative,negative
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative,neutral
Relief for Lewis as Tesco sees sales grow for first time in a year,positive,positive
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive,neutral
Morrisons and Debenhams surprise City with Christmas bounce back,positive,positive
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive,positive
Morning Agenda: Shire's Deal for NPS,positive,neutral
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,positive,neutral
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive,neutral
Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,positive,positive
ICE Said to Start Lining Up Financing for LSE Bidding War,positive,neutral
Shire proposes $30 bln all-share tie-up with Baxalta,positive,neutral
5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,positive,positive
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive,negative
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,positive,positive
Entertainment One dispels ITV takeover rumours,positive,neutral
New Morrisons duo get former boss's support to diffuse investor tension,positive,neutral
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive,neutral
